semana,dia_semana,BOGOTA,MEDELLIN,CALI,CARTAGENA,BARRANQUILLA
1,0,70.0,56.0,52.0,10.0,6.0
1,1,79.0,103.0,72.0,16.0,6.0
1,2,103.0,129.0,56.0,16.0,10.0
1,3,85.0,86.0,78.0,1.0,16.0
1,4,78.0,75.0,63.0,15.0,15.0
1,5,120.0,119.0,61.0,17.0,11.0
1,6,109.0,139.0,94.0,13.0,15.0
2,0,37.0,54.0,44.0,6.0,7.0
2,1,81.0,117.0,76.0,17.0,15.0
2,2,82.0,107.0,55.0,14.0,10.0
2,3,79.0,77.0,60.0,13.0,12.0
2,4,94.0,104.0,62.0,18.0,10.0
2,5,69.0,86.0,64.0,24.0,13.0
2,6,60.0,79.0,48.0,8.0,9.0
3,0,75.0,95.0,74.0,14.0,9.0
3,1,67.0,103.0,62.0,25.0,18.0
3,2,80.0,102.0,56.0,13.0,16.0
3,3,85.0,100.0,69.0,17.0,16.0
3,4,92.0,111.0,59.0,13.0,20.0
3,5,106.0,93.0,71.0,21.0,5.0
3,6,70.0,70.0,55.0,11.0,4.0
4,0,78.0,112.0,83.0,10.0,7.0
4,1,84.0,85.0,81.0,15.0,4.0
4,2,91.0,102.0,64.0,16.0,13.0
4,3,79.0,102.0,50.0,16.0,9.0
4,4,87.0,119.0,67.0,15.0,14.0
4,5,115.0,112.0,77.0,18.0,11.0
4,6,86.0,72.0,43.0,13.0,7.0
5,0,35.0,65.0,51.0,7.0,3.0
5,1,80.0,102.0,75.0,24.0,9.0
5,2,91.0,101.0,89.0,19.0,19.0
5,3,36.0,46.0,17.0,17.0,5.0
5,4,72.0,67.0,50.0,16.0,13.0
5,5,112.0,107.0,58.0,14.0,10.0
5,6,103.0,126.0,80.0,,14.0
6,0,80.0,136.0,80.0,13.0,13.0
6,1,103.0,125.0,76.0,12.0,18.0
6,2,110.0,112.0,79.0,17.0,18.0
6,3,97.0,113.0,64.0,11.0,14.0
6,4,112.0,108.0,71.0,12.0,9.0
6,5,112.0,99.0,78.0,24.0,14.0
6,6,73.0,96.0,74.0,15.0,8.0
7,0,78.0,104.0,84.0,14.0,13.0
7,1,105.0,113.0,59.0,12.0,4.0
7,2,81.0,97.0,91.0,13.0,16.0
7,3,81.0,101.0,74.0,13.0,4.0
7,4,99.0,116.0,94.0,9.0,7.0
7,5,103.0,117.0,59.0,13.0,7.0
7,6,76.0,75.0,69.0,14.0,7.0
8,0,63.0,114.0,74.0,12.0,10.0
8,1,94.0,110.0,62.0,18.0,11.0
8,2,99.0,124.0,74.0,13.0,10.0
8,3,84.0,143.0,81.0,14.0,13.0
8,4,146.0,118.0,74.0,9.0,18.0
8,5,130.0,109.0,79.0,15.0,9.0
8,6,92.0,89.0,67.0,19.0,8.0
9,0,36.0,57.0,26.0,10.0,8.0
9,1,86.0,100.0,69.0,14.0,10.0
9,2,112.0,127.0,66.0,13.0,8.0
9,3,59.0,74.0,41.0,8.0,8.0
9,4,83.0,113.0,52.0,25.0,13.0
9,5,109.0,117.0,66.0,20.0,8.0
9,6,84.0,92.0,67.0,,11.0
10,0,99.0,111.0,62.0,15.0,19.0
10,1,113.0,126.0,69.0,20.0,12.0
10,2,78.0,86.0,65.0,7.0,14.0
10,3,102.0,119.0,55.0,9.0,15.0
10,4,111.0,117.0,58.0,19.0,14.0
10,5,87.0,116.0,50.0,15.0,9.0
10,6,65.0,81.0,45.0,8.0,8.0
11,0,97.0,98.0,81.0,16.0,13.0
11,1,100.0,105.0,78.0,27.0,16.0
11,2,93.0,142.0,72.0,13.0,19.0
11,3,102.0,117.0,69.0,18.0,11.0
11,4,125.0,124.0,93.0,18.0,16.0
11,5,114.0,132.0,68.0,18.0,14.0
11,6,57.0,76.0,58.0,20.0,8.0
12,0,68.0,62.0,60.0,14.0,3.0
12,1,110.0,125.0,75.0,12.0,12.0
12,2,109.0,113.0,69.0,18.0,8.0
12,3,94.0,99.0,56.0,16.0,10.0
12,4,93.0,125.0,81.0,15.0,7.0
12,5,102.0,105.0,80.0,18.0,7.0
12,6,66.0,88.0,58.0,15.0,5.0
13,0,76.0,101.0,63.0,10.0,12.0
13,1,90.0,115.0,59.0,10.0,11.0
13,2,116.0,116.0,68.0,10.0,11.0
13,3,62.0,69.0,51.0,18.0,8.0
13,4,64.0,84.0,67.0,16.0,12.0
13,5,91.0,122.0,54.0,12.0,10.0
13,6,50.0,65.0,55.0,18.0,8.0
14,0,116.0,125.0,66.0,9.0,16.0
14,1,116.0,108.0,74.0,15.0,10.0
14,2,77.0,67.0,50.0,,12.0
14,3,101.0,115.0,78.0,11.0,13.0
14,4,117.0,130.0,63.0,14.0,9.0
14,5,102.0,125.0,62.0,12.0,15.0
14,6,100.0,99.0,80.0,14.0,14.0
15,0,124.0,125.0,72.0,14.0,14.0
15,1,87.0,118.0,58.0,18.0,11.0
15,2,109.0,112.0,63.0,11.0,13.0
15,3,86.0,102.0,55.0,16.0,11.0
15,4,90.0,121.0,70.0,23.0,12.0
15,5,112.0,101.0,85.0,14.0,15.0
15,6,70.0,92.0,66.0,13.0,6.0
16,0,95.0,99.0,55.0,21.0,13.0
16,1,113.0,119.0,64.0,20.0,8.0
16,2,92.0,126.0,85.0,14.0,7.0
16,3,92.0,82.0,59.0,17.0,9.0
16,4,114.0,124.0,66.0,15.0,11.0
16,5,91.0,108.0,82.0,23.0,9.0
16,6,59.0,83.0,55.0,17.0,7.0
17,0,87.0,118.0,62.0,12.0,13.0
17,1,79.0,94.0,68.0,13.0,8.0
17,2,90.0,126.0,55.0,15.0,14.0
17,3,109.0,101.0,56.0,12.0,4.0
17,4,115.0,128.0,62.0,9.0,12.0
17,5,56.0,87.0,48.0,15.0,6.0
17,6,106.0,110.0,67.0,10.0,15.0
